step,timestamp,scenario,risk_posture,bank_profile,bank_strategy,accion_fin_id,accion_fin_desc,fin_family,accion_rl_id,accion_rl_desc,rl_family,accion_final_id,accion_final_desc,final_family,rationale_fin,combination_note,reward,EVA_before,EVA_after,EVA_gain,RWA_before,RWA_after,capital_liberado,risk_before,risk_after,num_loans_active,num_loans_closed,eva_volatility,hhi_segment,hhi_rating,capital_carry_cost,reward_eva_term,reward_cap_term,reward_risk_term,reward_pti_term,reward_pnl_term,reward_cure_term,reward_vol_term,reward_conc_term,reward_carry_term,reward_total_check,sold_ids,restructured_ids
0,20260118_141719,baseline,prudencial,prudente,Banco prudente,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,3,REESTRUCTURAR top-1 EVA más negativa,RESTRUCT,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,"EVA=-261,505,995€, RWA=2,238,053,454, EVA/RWA=-0.1168, RORWA_est≈-1.68% (hurdle=10.00%), HHI_seg=0.000, HHI_rat=0.000, EVA_vol≈0, n_active=200. Cartera claramente destructiva → MIX/RESTRUCT antes de vender agresivo.","Regla financiera=MIX, PPO fuera de MIX → se mantiene MIX.",-289.26224713707313,-261505995.0462894,-261764300.4256041,-258305.37931469083,2238053453.5,2238053453.5,0.0,279656008.21657884,280172493.9752082,200,0,129152.68965734541,0.7839119012138427,0.19847493422330825,2349956.1261750003,-0.06457634482867271,0.0,-42.025874096281235,-245.32573962765662,-1.6918013301000001,0.0,-0.005166107586293817,-0.07859094683497209,-0.07049868378525001,-289.26224713707313,,L000000
1,20260118_141719,baseline,prudencial,prudente,Banco prudente,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,3,REESTRUCTURAR top-1 EVA más negativa,RESTRUCT,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,"EVA=-261,764,300€, RWA=2,238,053,454, EVA/RWA=-0.1170, RORWA_est≈-1.70% (hurdle=10.00%), HHI_seg=0.784, HHI_rat=0.198, EVA_vol≈129,153, n_active=200. Cartera claramente destructiva → MIX/RESTRUCT antes de vender agresivo.","Regla financiera=MIX, PPO fuera de MIX → se mantiene MIX.",-289.7627499529431,-261764300.4256041,-262103615.6679531,-339315.2423489988,2238053453.5,2238053453.5,0.0,280172493.9752082,280851124.4599062,200,0,244723.63326617164,0.7839119012138427,0.19847493422330825,2349956.1261750003,-0.0848288105872497,0.0,-42.127668668985926,-245.64469595546467,-1.746677941954371,0.0,-0.009788945330646866,-0.07859094683497209,-0.07049868378525001,-289.7627499529431,,L000000
2,20260118_141719,baseline,prudencial,prudente,Banco prudente,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,3,REESTRUCTURAR top-1 EVA más negativa,RESTRUCT,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,"EVA=-262,103,616€, RWA=2,238,053,454, EVA/RWA=-0.1171, RORWA_est≈-1.71% (hurdle=10.00%), HHI_seg=0.784, HHI_rat=0.198, EVA_vol≈244,724, n_active=200. Cartera claramente destructiva → MIX/RESTRUCT antes de vender agresivo.","Regla financiera=MIX, PPO fuera de MIX → se mantiene MIX.",-290.1472541961529,-262103615.6679531,-262367989.1337097,-264373.46575659513,2238053453.5,2238053453.5,0.0,280851124.4599062,281379871.39141935,200,0,327526.1537790575,0.7839119012138427,0.19847493422330825,2349956.1261750003,-0.06609336643914879,0.0,-42.2069807087129,-245.89320701327586,-1.8187824309535325,0.0,-0.0131010461511623,-0.07859094683497209,-0.07049868378525001,-290.1472541961529,,L000000
3,20260118_141719,baseline,prudencial,prudente,Banco prudente,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,3,REESTRUCTURAR top-1 EVA más negativa,RESTRUCT,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,"EVA=-262,367,989€, RWA=2,238,053,454, EVA/RWA=-0.1172, RORWA_est≈-1.72% (hurdle=10.00%), HHI_seg=0.784, HHI_rat=0.198, EVA_vol≈327,526, n_active=200. Cartera claramente destructiva → MIX/RESTRUCT antes de vender agresivo.","Regla financiera=MIX, PPO fuera de MIX → se mantiene MIX.",-290.71097933571303,-262367989.1337097,-262750012.12394413,-382022.9902344346,2238053453.5,2238053453.5,0.0,281379871.39141935,282143917.3718883,200,0,438148.3806965507,0.7839119012138427,0.19847493422330825,2349956.1261750003,-0.09550574755860865,0.0,-42.32158760578324,-246.25230862409623,-1.874961792426807,0.0,-0.017525935227862027,-0.07859094683497209,-0.07049868378525001,-290.71097933571303,,L000000
4,20260118_141719,baseline,prudencial,prudente,Banco prudente,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,3,REESTRUCTURAR top-1 EVA más negativa,RESTRUCT,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,"EVA=-262,750,012€, RWA=2,238,053,454, EVA/RWA=-0.1174, RORWA_est≈-1.74% (hurdle=10.00%), HHI_seg=0.784, HHI_rat=0.198, EVA_vol≈438,148, n_active=200. Cartera claramente destructiva → MIX/RESTRUCT antes de vender agresivo.","Regla financiera=MIX, PPO fuera de MIX → se mantiene MIX.",-290.9784154209217,-262750012.12394413,-262937248.1462173,-187236.02227315307,2238053453.5,2238053453.5,0.0,282143917.3718883,282518389.4164346,200,0,507655.2345833274,0.7839119012138427,0.19847493422330825,2349956.1261750003,-0.046809005568288264,0.0,-42.377758412465184,-246.428310485033,-1.9561416778516263,0.0,-0.020306209383333097,-0.07859094683497209,-0.07049868378525001,-290.9784154209217,,L000000
5,20260118_141719,baseline,prudencial,prudente,Banco prudente,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,3,REESTRUCTURAR top-1 EVA más negativa,RESTRUCT,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,"EVA=-262,937,248€, RWA=2,238,053,454, EVA/RWA=-0.1175, RORWA_est≈-1.75% (hurdle=10.00%), HHI_seg=0.784, HHI_rat=0.198, EVA_vol≈507,655, n_active=200. Cartera claramente destructiva → MIX/RESTRUCT antes de vender agresivo.","Regla financiera=MIX, PPO fuera de MIX → se mantiene MIX.",-291.5171378002328,-262937248.1462173,-263301057.38312286,-363809.2369055748,2238053453.5,2238053453.5,0.0,282518389.4164346,283246007.89024574,200,0,599354.4135083978,0.7839119012138427,0.19847493422330825,2349956.1261750003,-0.0909523092263937,0.0,-42.48690118353686,-246.77029116772425,-1.9959293325846728,0.0,-0.02397417654033591,-0.07859094683497209,-0.07049868378525001,-291.5171378002328,,L000000
6,20260118_141719,baseline,prudencial,prudente,Banco prudente,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,3,REESTRUCTURAR top-1 EVA más negativa,RESTRUCT,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,"EVA=-263,301,057€, RWA=2,238,053,454, EVA/RWA=-0.1176, RORWA_est≈-1.76% (hurdle=10.00%), HHI_seg=0.784, HHI_rat=0.198, EVA_vol≈599,354, n_active=200. Cartera claramente destructiva → MIX/RESTRUCT antes de vender agresivo.","Regla financiera=MIX, PPO fuera de MIX → se mantiene MIX.",-292.1486109103111,-263301057.38312286,-263730921.18474236,-429863.8016194999,2238053453.5,2238053453.5,0.0,283246007.89024574,284105735.4934847,200,0,714826.7147395076,0.7839119012138427,0.19847493422330825,2349956.1261750003,-0.10746595040487499,0.0,-42.615860324022705,-247.17436314124654,-2.0732387954271063,0.0,-0.028593068589580307,-0.07859094683497209,-0.07049868378525001,-292.1486109103111,,L000000
7,20260118_141719,baseline,prudencial,prudente,Banco prudente,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,3,REESTRUCTURAR top-1 EVA más negativa,RESTRUCT,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,"EVA=-263,730,921€, RWA=2,238,053,454, EVA/RWA=-0.1178, RORWA_est≈-1.78% (hurdle=10.00%), HHI_seg=0.784, HHI_rat=0.198, EVA_vol≈714,827, n_active=200. Cartera claramente destructiva → MIX/RESTRUCT antes de vender agresivo.","Regla financiera=MIX, PPO fuera de MIX → se mantiene MIX.",-292.4967616614136,-263730921.18474236,-263975069.7513828,-244148.56664043665,2238053453.5,2238053453.5,0.0,284105735.4934847,284594032.6267656,200,0,727058.69896147,0.7839119012138427,0.19847493422330825,2349956.1261750003,-0.061037141660109165,0.0,-42.68910489401484,-247.4038627938886,-2.164584853271247,0.0,-0.0290823479584588,-0.07859094683497209,-0.07049868378525001,-292.4967616614136,,L000000
8,20260118_141719,baseline,prudencial,prudente,Banco prudente,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,3,REESTRUCTURAR top-1 EVA más negativa,RESTRUCT,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,"EVA=-263,975,070€, RWA=2,238,053,454, EVA/RWA=-0.1179, RORWA_est≈-1.79% (hurdle=10.00%), HHI_seg=0.784, HHI_rat=0.198, EVA_vol≈727,059, n_active=200. Cartera claramente destructiva → MIX/RESTRUCT antes de vender agresivo.","Regla financiera=MIX, PPO fuera de MIX → se mantiene MIX.",-292.8413581323376,-263975069.7513828,-264212837.78709638,-237768.03571358323,2238053453.5,2238053453.5,0.0,284594032.6267656,285069568.6981927,200,0,714000.4229578681,0.7839119012138427,0.19847493422330825,2349956.1261750003,-0.05944200892839581,0.0,-42.76043530472891,-247.62736474745935,-2.216466423682343,0.0,-0.028560016918314723,-0.07859094683497209,-0.07049868378525001,-292.8413581323376,,L000000
9,20260118_141719,baseline,prudencial,prudente,Banco prudente,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,3,REESTRUCTURAR top-1 EVA más negativa,RESTRUCT,9,MIX: vender top-1 EVA<0 & reestructurar top-1 PTI alto,MIX,"EVA=-264,212,838€, RWA=2,238,053,454, EVA/RWA=-0.1181, RORWA_est≈-1.81% (hurdle=10.00%), HHI_seg=0.784, HHI_rat=0.198, EVA_vol≈714,000, n_active=200. Cartera claramente destructiva → MIX/RESTRUCT antes de vender agresivo.","Regla financiera=MIX, PPO fuera de MIX → se mantiene MIX.",-293.56503927564114,-264212837.78709638,-264703690.80530453,-490853.0182081461,2238053453.5,2238053453.5,0.0,285069568.6981927,286051274.73460907,200,0,744661.6107745233,0.7839119012138427,0.19847493422330825,2349956.1261750003,-0.12271325455203652,0.0,-42.90769121019136,-248.08876658457504,-2.266992131271475,0.0,-0.029786464430980934,-0.07859094683497209,-0.07049868378525001,-293.56503927564114,,L000000
